audio_file,transcribed_text
1249120_44263136_93996655.wav,"I have found some bittersnake skin in charts in this print, but it doesn't get better."
1249120_44263136_94477614.wav,My shoulder aches when I try to lift five pounds.
1249120_44263136_95817458.wav,"I can walk well, I have an egg in my foot."
1249120_44263136_100870435.wav,The joins in my fingers are painful in the morning.
1249120_44263136_101522822.wav,I have a pain in my muscle.
1249120_44263136_101812019.wav,I feel hurt in my heart.
1249120_44263136_103802215.wav,My child has cough all night. She can sleep
1249120_44263136_106227417.wav,Heart aches so much.
1249120_44263136_106766278.wav,I feel like I fell in hot water.
1249120_44263136_106922287.wav,I have a back pain since I turned 70 years old.
1249120_44263136_107482610.wav,I feel like something is squeezing my lungs.
1249120_44263136_107507771.wav,My son had a rude kennel in the dentist acted at the inside of his cheek and now he would not heal.
1249120_44263136_107636900.wav,I may have overdone it with the weight lifting because I am afraid I may have torn a muscle on my back.
1249120_44263136_108585886.wav,"I've always been very active, but now I just don't have to strengthen or energy to go for even a short walk."
1249120_44273314_13390025.wav,I feel pain inside and I cannot identify it.
1249120_44273314_16049788.wav,My chest hurts when I go to take a breath.
1249120_44273314_16303816.wav,"I have a problem in my needle ear, made by infection."
1249120_44273314_17246181.wav,My throat is so sore.
1249120_44273314_18787091.wav,I have a back pain since I turned 70 years old.
1249120_44273314_21492329.wav,I have a pain in my muscle.
1249120_44273314_21942140.wav,"When I drink a lot, I get a headache."
1249120_44273314_24711015.wav,My heart hurts while I'm set. Why?
1249120_44273314_25005396.wav,Everything looks like being in a sokee area.
1249120_44273314_26783687.wav,My new catches and hurts when I first stand up after sitting.
1249120_44273314_28827187.wav,"My child has tough all night, she can't sleep."
1249120_44273314_30937230.wav,I feel pain in the knee when walking.
1249120_44273314_31089974.wav,I feel cold when the night comes.
1249120_44273314_31545094.wav,The joints in my fingers are painful in the morning.
1249120_44273314_32293213.wav,I feel that something is squeezing my lungs.
1249120_44273314_35569629.wav,I have a red rash that is eche on my skin.
1249120_44273314_38073414.wav,I feel like I fell in hot water.
1249120_44273314_38687390.wav,"When I'm too high, I start to feel dizzy."
1249120_44273314_40698632.wav,I feel a great amount of pressure on the sides of my neck.
1249120_44273314_45479897.wav,I feel hurt in my heart.
1249120_44273314_45748543.wav,My joints feel swollen.
1249120_44273314_47534753.wav,I've got my foot at the pool and it breaks open every day when I walk to it.
1249120_44273314_47748885.wav,My body feels weak although I eat a lot. Why?
1249120_44273314_52748628.wav,I feel aching on my insights.
1249120_44273314_54417923.wav,I'm very worried that I'll go ball soon. Am I very sick?
1249120_44273314_56365443.wav,I have a rash on my skin.
1249120_44273314_57161236.wav,I've gone to walk well. I have an eight in my foot.
1249120_44273314_59068162.wav,I have been like needles in my joints.
1249120_44273314_67775131.wav,My back hurts a lot when I bend.
1249120_44273314_68456497.wav,I feel sad.
1249120_44273314_69108455.wav,Have severe colon talk.
1249120_44273314_69242491.wav,My body aches on the inside between my hips and shoulders.
1249120_44273314_69418683.wav,I feel like I've always got something in my throat.
1249120_44273314_70276723.wav,I may have overdone it with the wind lifting because I may have torn a muscle on my back.
1249120_44273314_70741506.wav,I noticed a lot more hair coming up than usual when I brush my hair.
1249120_44273314_71015022.wav,My ankle joined ropes when I put pressure on my foot.
1249120_44273314_71205285.wav,"I'm not hearing well, I have problems with my ear."
1249120_44273314_72971747.wav,I feel emotionally crushed.
1249120_44273314_73290676.wav,My hair always falls out and I have lost a lot of hair lately.
1249120_44273314_75699317.wav,I have severe dry cough.
1249120_44273314_76070691.wav,I have a migraine and I took piano dough but it doesn't help.
1249120_44273314_76615195.wav,My shoulder aches when I try to leave 5 pounds.
1249120_44273314_77840631.wav,I wish this excruciating feeling of loss could go away.
1249120_44273314_84076771.wav,Having difficulty moving my knee.
1249120_44273314_84611968.wav,My neck has been sore since the accident.
1249120_44273314_87229465.wav,I feel a sharp pain in the stomach after eating.
1249120_44273314_91569607.wav,"There is a sharp pain in my bicep. I have tried to apply pain relief pain, but it does not help."
1249120_44273314_93618448.wav,I have a heartbeat in my stomach.
1249120_44273314_94623228.wav,"When I wake up in the morning, I feel dizzy."
1249120_44273314_95639193.wav,I hit the ground when trying to shoot a basket board.
1249120_44273314_96055783.wav,"My hair is so heavy, I can't think normally."
1249120_44273314_96091387.wav,I feel that there is great pain in my left shoulder.
1249120_44273314_97771287.wav,My foot had been 18 since last Tuesday.
1249120_44273314_98448714.wav,I feel sad like hurt or pain.
1249120_44273314_102521547.wav,The worst headache was during a hangover in my twenties. I sincerely thought I was going to die from brain inflammation.
1249120_44273314_103514863.wav,My body feels weak although I take my vitamins regularly.
1249120_44273314_104690533.wav,My body feels like it's in a refrigerator.
1249120_44273314_106435928.wav,I've tried reading books but nothing can cheer me up.
1249120_44273314_106442057.wav,Stereulizer for the eye.
1249120_44273314_107500628.wav,I can't walk my knee hurts me.
1249120_44273314_109807607.wav,I feel that I can hardly breathe unless I get what's in my lungs out.
1249120_44292353_18156280.wav,I am having running those.
1249120_44292353_23165570.wav,I feel my heart hurts when I ran for a long distance.
1249120_44292353_25313684.wav,Sometimes I feel like a claw on my chest that leaves me breathless.
1249120_44292353_25851801.wav,"When I stand up too quickly, I start to feel dizzy and light-headed."
1249120_44292353_31900996.wav,I have mental suffering.
1249120_44292353_38765156.wav,I started taking swimming lessons and I guess I swallowed too much water through my nose because this sinusitis is killing me now.
1249120_44292353_40076348.wav,"Sometimes when it's cold outside my face hurts, especially around the pimples that are ready to pop."
1249120_44292353_47569087.wav,I feel I went to an acupuncture as practice and had 100 needles in my shoulder.
1249120_44292353_53318642.wav,My shower drain is full of hair every time.
1249120_44292353_53478447.wav,I have a painful cramp in my feet.
1249120_44292353_62335378.wav,I have eruptions on my face that come and go.
1249120_44292353_67132028.wav,I feel weak all over.
1249120_44292353_69566092.wav,"I love to garden, but I get a terrible twinge in my lower back when I lean over."
1249120_44292353_70288448.wav,"When I raise my hand, I feel pain my shoulder."
1249120_44292353_71029438.wav,"My neck is annoying me, I can't sleep because of it."
1249120_44292353_79362392.wav,I feel very hard to breathe.
1249120_44292353_83240359.wav,I was watching TV and suddenly have blurry vision.
1249120_44292353_95216909.wav,I got injured exercising.
1249120_44292353_95558066.wav,I have a great stomach ache in accounting anything.
1249120_44292353_107326859.wav,I feel dizzy when I step in front of my laptop for an hour or two. What possibly could be the reason?
1249120_44294866_13068476.wav,The area around my heart doesn't feel good.
1249120_44294866_14283535.wav,I start thinking we were in relation and I guess I was walking too much water from my nose because this sinusitis is killing me now.
1249120_44294866_15891095.wav,I have shorter pain when I try to carry my groceries.
1249120_44294866_16718315.wav,I get a knee pain when it walk a lot.
1249120_44294866_18570665.wav,I have a room soon on my face that comment go.
1249120_44294866_19000724.wav,"When I stand up too quickly, I start to feel dizzy and light ahead."
1249120_44294866_20041027.wav,I am disappointed.
1249120_44294866_21761084.wav,"I got up man, went ahead and cheated."
1249120_44294866_23003547.wav,I feel weak all over.
1249120_44294866_29194304.wav,I usually have a bad cup when you get food.
1249120_44294866_29285051.wav,and having really close.
1249120_44294866_30296550.wav,"The cross-incenseational of my heart, leave me rattle us."
1249120_44294866_30450066.wav,I have a neck pain when I sit in front of my laptop.
1249120_44294866_37364395.wav,So they are paying in the upper left side of chest and may have paying to buy.
1249120_44294866_38949666.wav,for our school is grant like once.
1249120_44294866_39510206.wav,"I love to God, but I get a terrible change in my lower back when I lean over."
1249120_44294866_43326442.wav,I have a pain in my elbow joint.
1249120_44294866_49687487.wav,I had an accident and my wound was open when I arrived hospital.
1249120_44294866_52206190.wav,my shoulder has a great pain
1249120_44294866_52332577.wav,I don't do anything at home and still I feel exhausted.
1249120_44294866_52604131.wav,"stiffness, inability to look right or left, except by moving the whole body."
1249120_44294866_53414183.wav,"I'm not good, I'm feeling so cold."
1249120_44294866_53713877.wav,I feel very hard to breathe.
1249120_44294866_56914981.wav,"My lower body hurts, but it improves if I stretch it."
1249120_44294866_57205296.wav,I feel a burn sensation in my kids about two hours after age meal.
1249120_44294866_58377113.wav,sometimes when it is called outside my face hurts it's basically around the pimples that are ready to go
1249120_44294866_60643161.wav,They can't stand up or sit down. They have a pain in my bed and that's annoying me.
1249120_44294866_61770999.wav,"When I move on my shoulder, being shut down my arms."
1249120_44294866_61858983.wav,I got enjoyed exercising.
1249120_44294866_63476113.wav,I was watching to be an exactly half-brother be sure.
1249120_44294866_63568111.wav,I feel a great pain in my shoulder when I try to lift something heavy.
1249120_44294866_63987415.wav,"When I rise my head, I feel pain in my shoulder."
1249120_44294866_64368433.wav,I was traveling by ship and I feel these
1249120_44294866_67568437.wav,My hair isn't too old.
1249120_44294866_68130365.wav,They are the big mice damage.
1249120_44294866_69316456.wav,My hair is falling out after I take a shower.
1249120_44294866_72495478.wav,My head hurts when I'm doing this.
1249120_44294866_73599319.wav,"When it first my eyes to be you, I have really been so"
1249120_44294866_74679338.wav,They offer with the stomachache and they can pay its attention.
1249120_44294866_76461050.wav,My neck is annoying me. I can't sleep because of it.
1249120_44294866_77416341.wav,The warm name says that of my house is broken and feels cold.
1249120_44294866_78490603.wav,My nose is congested all the time and there is this really situation in my throat that make it impossible for me to sleep. I often have to not sit in the eye.
1249120_44294866_80026823.wav,I fell to my yard or when I ran for a long distance.
1249120_44294866_86233279.wav,They have a very vision and it can't see in the darkness. What is the reason Doctor?
1249120_44294866_89734541.wav,My entire body is breathing.
1249120_44294866_90790242.wav,It adds from an center of top.
1249120_44294866_90929031.wav,It is like a hot and needle it push and throw my out.
1249120_44294866_92792208.wav,When I stand up too quickly I start to feel dizzy and lightheaded.
1249120_44294866_94282612.wav,I have to retain my hair.
1249120_44294866_94374240.wav,I feel something hurt me in taking bread and I can't take my bread.
1249120_44294866_96337692.wav,"When it band over, I get to shoot in band on like that."
1249120_44294866_98831261.wav,I feel this when I said in front of my laptop for an hour or two. What was it being? It could be the reason.
1249120_44294866_99659302.wav,I feel as earnest in my knees when he walked.
1249120_44294866_102078306.wav,I should have been in my knee cough after working out.
1249120_44294866_102554677.wav,I have written in my face an other problem in my dharma like it.
1249120_44294866_102664880.wav,I often gain a sharp gain in my chest and it can't tell what I'm doing that might be triggering.
1249120_44294866_103485284.wav,My daughter had her apron 3D and it followed it on opening off skiing in one of her bronz that it's not perfect and easy.
1249120_44294866_103743912.wav,Yes and they haven't showed or been.
1249120_44294866_103812071.wav,I have a rake when I go to the pool.
1249120_44294866_104237668.wav,I have a pain in my head.
1249120_44294866_104430582.wav,"Hey, I've been traveling with my joints."
1249120_44294866_104890103.wav,"I have a hard, musculp thing since I went to the human."
1249120_44294866_105332708.wav,I don't have full rings of motion with my arms.
1249120_44294866_106050928.wav,A was a mouse with pneumonia. It can break it.
1249120_44294866_107429604.wav,"Every time I come, my hair, there are so many hair in my comb."
1249120_44323331_10095808.wav,There is just hopping in my big cap.
1249120_44323331_12481133.wav,I cut my head a couple of weeks ago and even true I keep using an athletic team it's not getting better.
1249120_44323331_13821399.wav,There is a serpent in my clip.
1249120_44323331_14650475.wav,I can hardly breathe.
1249120_44323331_15039513.wav,I get I jump in when I try to bend my leg or my arm.
1249120_44323331_15655234.wav,When I remember here I pulled down.
1249120_44323331_16235297.wav,"Good, I played the ball. I have joined it."
1249120_44323331_16590901.wav,I feel server reaching in the skin with readiness.
1249120_44323331_17693815.wav,"I cannot work, because... Oh, God."
1249120_44323331_18782425.wav,My sound got a tattoo several weeks ago and the skin around each side and hot and it looks interested.
1249120_44323331_20802934.wav,I cannot bear this squeezing since the sun I have in my chest.
1249120_44323331_22225771.wav,I have a sock bin in my yard.
1249120_44323331_22949427.wav,I feel pain in my joint after and in your in the last full match I played
1249120_44323331_23606264.wav,I put blood over will jumping to get to the ball.
1249120_44323331_23843315.wav,"My son, I stayed, has neck with an old roger and that sport has become inflamed and looks like it is interested."
1249120_44323331_24461872.wav,I cannot stop going.
1249120_44323331_24602215.wav,There is pain in my mind. I cannot be our pain.
1249120_44323331_25847807.wav,My right shoulder clicks when I move my arm.
1249120_44323331_25968681.wav,I have so much solar paint
1249120_44323331_26313266.wav,"I am Oled, how cold, internet, I am, I am, I am, I am, I am, I am, I am, I am, I am, I am, I am,"
1249120_44323331_26386155.wav,My head is spinning when I get up.
1249120_44323331_26408664.wav,"The old, old, old, old, old, old, old."
1249120_44323331_27898617.wav,"I build it, where ever I stand up."
1249120_44323331_28822792.wav,All of a sudden I felt dizzy when I stood up.
1249120_44323331_30817447.wav,Red glasses. A compact width itchy.
1249120_44323331_33624071.wav,my body feels wake after my past day in the day why
1249120_44323331_34357709.wav,My old opened up again.
1249120_44323331_35285585.wav,I feel a good amount of peace on of my head.
1249120_44323331_38538892.wav,I had it sorted in my dog.
1249120_44323331_42291661.wav,I have a strong full of it.
1249120_44323331_45513911.wav,I started sports because I get injury firm sports.
1249120_44323331_47564425.wav,(speaking in foreign language)
1249120_44323331_51610812.wav,"Ben Indi, Large Nick."
1249120_44323331_53313006.wav,"Prog my uncle will docking rock, landing in the apetics."
1249120_44323331_54400222.wav,Standing layers in high meters and my back start to HE.
1249120_44323331_55722581.wav,"When I wake up in the morning, I feel sorry for the body."
1249120_44323331_59191528.wav,I get an ER-IT when it is pulled.
1249120_44323331_59510879.wav,Sot pain and heavy breathing.
1249120_44323331_61837950.wav,I have been feeling very sad lately.
1249120_44323331_63059317.wav,My back hurts me a lot.
1249120_44323331_63258394.wav,I have not sports on my skin.
1249120_44323331_63393498.wav,I have a great pain in my tooth like twin pain with relaxing my pain relief.
1249120_44323331_63502960.wav,"It's like they are in and needles, sticking in my dirt."
1249120_44323331_66888889.wav,my drugs at a 21-e-pitch court
1249120_44323331_70756728.wav,"It's standard as a key details, but today the pain each, truth being and unable."
1249120_44323331_72563945.wav,"I feel deep, tingling, when I touch SNA followed by bad sensation."
1249120_44323331_75046615.wav,I have a problem in my back. I cannot stand it.
1249120_44323331_77964928.wav,"I never had any SNA, Globala, Unitil, my last pregnancy, when all of a student, my back got"
1249120_44323331_79182023.wav,"Every time I talk a deep birth, I start moving."
1249120_44323331_81285987.wav,I feel strong pain in my knee after it was hit during the pudal match.
1249120_44323331_81893062.wav,I feel pain in my ears with tinnitus.
1249120_44323331_82659146.wav,When I walk it's hard to breathe.
1249120_44323331_84030889.wav,I feel great pain in the head.
1249120_44323331_84928769.wav,I have been in my store.
1249120_44323331_86516132.wav,[Music]
1249120_44323331_88012031.wav,It hurts when I dizzy my arm up.
1249120_44323331_89173398.wav,I have an indigestant.
1249120_44323331_89529293.wav,My hair is feeling out in hug amount.
1249120_44323331_94962408.wav,I peel then in my throat.
1249120_44323331_95219530.wav,I peel thin in my knee.
1249120_44323331_95281494.wav,I hot when I build my arm.
1249120_44323331_95484507.wav,"My son had you noep, that's me."
1249120_44323331_95561004.wav,"When I go to sleep, I am feeling cold."
1249120_44323331_95860925.wav,I made lots and lots of analyses to know the main reason for my stock HA.
1249120_44323331_109641805.wav,See more than in the yarn.
1249120_44387284_64093494.wav,"I was a little bit older than I was in my sleep, couldn't tell you what I was. You know, for a food."
1249120_44415714_12774994.wav,[speaking in foreign language]
1249120_44442354_25790660.wav,I am a head shorter.
1249120_44442354_52494335.wav,I can hack and gurf it because of my angle.
1249120_44442354_57228239.wav,My skin needs to change.
1249120_44442354_96518720.wav,I failed my state's net in my elbows and solo.
1249120_44442354_97149231.wav,I'm suffering from a shared company being fired.
